chr,start,end,name,chrTSS,startTSS,endTSS,TargetGene,ReferenceID,CellType,EffectSize,pValueAdjusted,Significant,PowerAtEffectSize25,PowerAtEffectSize10,PowerAtEffectSize15,PowerAtEffectSize20,PowerAtEffectSize50,distanceToTSS,numTSSEnhGene,numCandidateEnhGene,normalizedDNase_enh,normalizedDNase_prom,numNearbyEnhancers,sumNearbyEnhancers,ubiquitousExpressedGene,3DContact,3DContact_squared,normalizedDNase_enh_squared,ABC.Score
chr1,225928390,225928890,PYCR2|chr1:226116090-226116590:.,chr1,225924339.0,225924340.0,PYCR2,2f957f7a,K562,-0.166364519,1.37e-20,True,1.0,0.7,0.95,1.0,1.0,4278.0,1,1,24.812405,0.936829,140,2031.57843,0,8555.919251,73203754.23,615.6554419,0.155077
chr22,26632454,26633359,TPST2|chr22:27028418-27029323:.,chr22,26596716.0,26596717.0,TPST2,2f957f7a,K562,-0.143373529,5.82e-15,True,1.0,0.25,0.65,0.85,1.0,42764.5,3,6,13.255002,0.539993,185,406.606022,0,2059.705638,4242387.315,175.695078,0.053567
chrX,153985479,153985979,IRAK1|chrX:153250930-153251430:.,chrX,154019979.0,154019980.0,IRAK1,2f957f7a,K562,-0.11695504,0.028680329,True,0.65,0.3,0.45,0.55,1.0,34672.5,1,6,11.901514,0.691692,83,107.828122,0,1542.426632,2379079.915,141.6460355,0.01845
chr1,3774714,3775214,CEP104|chr1:3691278-3691778:*,chr1,3857213.0,3857214.0,CEP104,33564e49,K562,-0.293431866,0.004023984,True,0.825093632,,,,,81670.0,3,9,51.449589,0.929377,300,1754.1173,1,963.452948,928241.583,2647.060208,0.038779
chr19,43785250,43785750,KCNN4|chr19:44289402-44289902:.,chr19,43781256.0,43781257.0,KCNN4,2f957f7a,K562,-0.035981748,0.000504,True,0.55,0.05,0.1,0.2,0.95,4219.0,1,3,5.251371,0.541348,678,4290.996234,0,9051.212013,81924438.9,27.57689738,0.03362
chr8,127898896,127898963,MYC|chr8:128911142-128911209:*,chr8,127735434.0,127735435.0,MYC,39b33148,K562,-0.35884,2.44e-11,True,1.0,,,,,162684.5,2,32,33.018915,0.826261,66,506.155122,0,882.61258,779004.9664,1090.248748,0.033564
chr17,44288325,44288825,UBTF|chr17:42365693-42366193:.,chr17,44221625.0,44221626.0,UBTF,2f957f7a,K562,-0.069325089,0.006935263,True,0.95,0.3,0.55,0.75,1.0,68930.0,2,12,33.473137,0.594479,184,606.301528,1,1199.991703,1439980.087,1120.450901,0.024878
chrX,48941708,48942244,PQBP1|chrX:48798965-48799505:*,chrX,48897912.0,48897913.0,PQBP1,39b33148,K562,-0.18613475,2.53e-11,True,1.0,,,,,44040.0,4,4,18.953053,0.989572,316,4915.38079,1,851.795513,725555.596,359.218218,0.008273
chr16,142952,143452,HBZ|chr16:192951-193451:.,chr16,152687.0,152688.0,HBZ,2f957f7a,K562,-0.351458378,6.87e-23,True,0.95,0.6,0.85,0.9,1.0,9403.5,1,2,14.035921,0.554365,346,3208.374614,0,5949.98105,35402274.5,197.0070783,0.074381
chr8,129696899,129699399,MYC|chr8:130709145-130711645:*,chr8,127735434.0,127735435.0,MYC,0c4fc18d,K562,-0.04793205,0.02189944,True,1.0,,,,,1961250.0,7,216,5.626645,0.826261,76,687.960873,0,520.1799795,270587.2115,32.57017366,0.006742
chr12,9764686,9765406,CD69|chr12:9917282-9918002:.,chr12,9760900.0,9760901.0,CD69,2f957f7a,K562,-0.099150933,3.84e-12,True,0.3,0.05,0.2,0.2,0.9,4245.5,1,1,13.536034,0.562929,78,318.850116,0,10062.06614,101245174.9,183.2242164,0.298027
chr19,12825131,12825931,PRDX2|chr19:12935945-12936745:*,chr19,12801858.0,12801859.0,PRDX2,39b33148,K562,-0.030001449,0.016296634,True,1.0,,,,,23642.5,2,3,4.263777,0.599511,453,1144.816538,0,1665.537943,2774016.64,18.17979431,0.003942
chr1,108533276,108534274,FAM102B|chr1:109075898-109076896:.,chr1,108560089.0,108560090.0,FAM102B,2f957f7a,K562,-0.039291795,0.000176,True,0.4,0.25,0.3,0.5,1.0,26347.0,1,1,18.021326,0.741605,0,0.0,0,1906.393278,3634335.33,324.7681908,0.045418
chr3,196181747,196182350,ZDHHC19|chr3:195908618-195909221:.,chr3,196211436.0,196211437.0,ZDHHC19,2f957f7a,K562,-0.075805723,1.82e-05,True,0.45,0.15,0.2,0.3,1.0,29398.0,1,9,7.430035,0.378206,156,466.037416,0,1462.637438,2139308.275,55.2054201,0.01287
chr19,17398833,17399622,BST2|chr19:17509642-17510431:.,chr19,17405647.0,17405648.0,BST2,2f957f7a,K562,-0.123782483,9.66e-09,True,1.0,0.7,0.7,0.95,1.0,6369.0,2,3,4.205269,0.727523,586,3219.3317,0,4254.865235,18103878.17,17.68428736,0.009957
chr11,33936808,33937715,LMO2|chr11:33958355-33959262:.,chr11,33892288.0,33892289.0,LMO2,2f957f7a,K562,-0.145709695,2.12e-13,True,0.95,0.45,0.65,0.85,1.0,45006.5,1,11,16.66063,0.580785,105,607.409145,0,1786.447583,3191394.967,277.576592,0.027148
chr2,84919788,84920560,TMSB10|chr2:85146912-85147684:.,chr2,84905625.0,84905626.0,TMSB10,2f957f7a,K562,-0.263991642,1.24e-09,True,0.9,0.4,0.65,0.7,1.0,14556.0,1,2,6.639184,0.659368,36,74.729124,0,6817.568835,46479244.82,44.07876419,0.064326
chr11,33941571,33942071,CAT|chr11:33963118-33963618:.,chr11,34438925.0,34438926.0,CAT,2f957f7a,K562,-0.060144421,0.000316,True,0.95,0.45,0.65,0.85,1.0,497085.5,4,43,12.111835,0.974039,105,1622.29872,0,404.519789,163636.2597,146.6965471,0.004754
chr1,3774714,3775214,SMIM1|chr1:3691278-3691778:*,chr1,3772761.0,3772762.0,SMIM1,33564e49,K562,-0.472019217,0.000642,True,0.639332272,,,,,2777.0,1,2,51.449589,0.756605,300,1754.1173,0,13511.16727,182551641.1,2647.060208,0.400853
chr15,88917703,88918547,MFGE8|chr15:89460934-89461778:.,chr15,88913410.0,88913411.0,MFGE8,2f957f7a,K562,-0.0666626,0.000481,True,0.95,0.4,0.6,0.8,1.0,4657.5,1,1,2.810231,0.634085,162,562.809168,0,9127.361531,83308728.52,7.897398273,0.036478
chr11,33944736,33945236,LMO2|chr11:33966283-33966783:.,chr11,33892288.0,33892289.0,LMO2,2f957f7a,K562,-0.405874217,2.5e-185,True,1.0,0.45,0.65,0.95,1.0,52657.0,1,14,26.460732,0.580785,70,536.965275,0,1768.464272,3127465.881,700.170338,0.042683
chr14,95545711,95546211,GLRX5|chr14:96012048-96012548:.,chr14,95533503.0,95533504.0,GLRX5,2f957f7a,K562,-0.191673723,6.54e-12,True,1.0,0.55,0.65,0.85,1.0,11000.0,2,5,1.536336,0.916699,102,350.976186,0,1704.889941,2906649.711,2.360328305,0.003737
chr5,173855548,173856048,CPEB4|chr5:173282551-173283051:.,chr5,173888280.0,173888281.0,CPEB4,2f957f7a,K562,-0.07287349,0.000251,True,0.65,0.15,0.35,0.5,1.0,32493.0,1,10,19.364335,0.950716,281,2449.202514,0,1818.288096,3306171.6,374.97747,0.023853
chr5,10310245,10310745,CMBL|chr5:10310357-10310857:.,chr5,10308025.0,10308026.0,CMBL,2f957f7a,K562,-0.096037315,0.016585216,True,0.95,0.65,0.8,0.95,1.0,2530.0,1,2,2.442875,0.886771,84,751.036972,0,11090.16258,122991706.0,5.967638266,0.019617
chr4,48481557,48482057,SLC10A4|chr4:48483574-48484074:.,chr4,48483343.0,48483344.0,SLC10A4,2f957f7a,K562,-0.030703757,0.004435736,True,0.05,0.0,0.0,0.05,0.45,1548.0,1,1,4.017232,0.579188,88,242.85624,0,20455.5901,418431166.4,16.13815294,0.176612
chr2,237964857,237965483,UBE2F|chr2:238873499-238874125:.,chr2,237966827.0,237966828.0,UBE2F,2f957f7a,K562,-0.101332151,0.010743451,True,0.9,0.35,0.55,0.7,1.0,1738.0,2,1,19.364335,0.699506,90,537.402195,0,17181.92888,295218680.1,374.97747,0.43245
chr11,353334,354301,IFITM2|chr11:353334-354301:.,chr11,307631.0,307632.0,IFITM2,ebda246b,K562,-0.168727776,0.000492,True,0.55,0.05,0.05,0.4,0.95,45428.0,3,13,3.14209,0.426425,264,1851.774144,0,4774.962573,22800289.77,10.13944397,0.0244
chr9,127862350,127863418,AK1|chr9:130624629-130625697:.,chr9,127877742.0,127877743.0,AK1,2f957f7a,K562,-0.13401079,2.83e-07,True,0.95,0.7,0.75,0.8,1.0,15188.0,1,4,17.738444,0.49233,116,304.574936,0,2596.022665,6739333.677,314.6523955,0.040113
chr1,231053506,231054137,FAM89A|chr1:231189252-231189883:.,chr1,231040245.0,231040246.0,FAM89A,2f957f7a,K562,-0.101152411,0.000395,True,0.95,0.55,0.85,0.95,1.0,13598.0,1,6,5.851145,0.542848,213,626.139983,0,5079.851715,25804893.45,34.23589781,0.03667
chr17,32897552,32897572,MYO1D|chr17:31224570-31224590:*,chr17,32877176.0,32877177.0,MYO1D,13ac4f71,K562,-0.69,,True,0.387425634,,,,,20441.0,1,4,19.068325,0.742597,208,902.330832,0,2050.758519,4205610.503,363.6010183,0.055888
chr19,48812108,48812648,BCAT2|chr19:49315365-49315905:*,chr19,48811028.0,48811029.0,BCAT2,39b33148,K562,-0.06848122,0.030363972,True,1.0,,,,,1319.0,1,1,11.634986,0.716612,1072,4498.278428,0,20566.08366,422963797.0,135.3728992,0.11316
chr11,130006751,130007384,APLP2|chr11:129876646-129877279:.,chr11,130069837.0,130069838.0,APLP2,2f957f7a,K562,-0.130912887,1.78e-05,True,1.0,0.4,0.65,0.9,1.0,62697.0,1,5,4.08202,0.884883,32,1133.39456,0,3265.859545,10665838.57,16.66288728,0.016723
chr11,353334,354301,IFITM1|chr11:353334-354301:.,chr11,313506.0,313507.0,IFITM1,ebda246b,K562,-0.378918481,8.869999999999999e-40,True,1.0,0.6,0.7,0.9,1.0,39544.0,2,12,3.14209,0.646545,264,1851.774144,0,5736.963482,32912792.2,10.13944397,0.023671
chr7,107007135,107008276,PRKAR2B|chr7:106647580-106648721:.,chr7,107044649.0,107044650.0,PRKAR2B,2f957f7a,K562,-0.170540286,4.230000000000001e-21,True,1.0,0.45,0.8,0.95,1.0,36630.0,1,14,16.3467725,0.867609,82,1588.700021,0,1876.015592,3519439.596,398.4349469,0.042632
chr1,158691856,158692709,SPTA1|chr1:158661646-158662499:.,chr1,158686697.0,158686698.0,SPTA1,2f957f7a,K562,-0.100250496,3.26e-24,True,0.6,0.15,0.2,0.45,1.0,5380.0,1,2,5.533956,0.586592,162,690.731874,0,13120.54357,172148663.5,30.62466901,0.155566
chr3,150733196,150734132,SIAH2|chr3:150450983-150451919:.,chr3,150763476.0,150763477.0,SIAH2,2f957f7a,K562,-0.086750525,0.000886,True,0.95,0.25,0.55,0.8,1.0,29870.0,2,8,18.18246,0.727523,48,392.49912,0,2458.623159,6044827.838,330.6018517,0.06296
chr5,173853357,173854014,CPEB4|chr5:173280360-173281017:.,chr5,173888280.0,173888281.0,CPEB4,2f957f7a,K562,-0.054151439,0.003682197,True,0.6,0.1,0.15,0.35,1.0,34724.0,1,11,18.848758,0.950716,140,1686.48774,0,1404.542874,1972740.685,355.2756781,0.017935
chr19,12789831,12790351,JUNB|chr19:12900645-12901165:*,chr19,12791496.0,12791497.0,JUNB,39b33148,K562,-0.31210061,9.24e-13,True,0.99998073,,,,,1448.0,1,1,17.981937,0.862697,904,8712.5034,0,25442.56813,647324272.8,323.3500583,0.145537
chr4,54571096,54572159,KIT|chr4:55437263-55438326:.,chr4,54657918.0,54657919.0,KIT,2f957f7a,K562,-0.016013276,0.004389373,True,0.0,0.0,0.0,0.0,0.1,86487.0,2,8,15.894344,0.429764,29,55.026485,0,845.674459,715165.2906,252.6301712,0.052544
chr17,42699222,42699316,EZH1|chr17:40851240-40851334:*,chr17,42745048.0,42745049.0,EZH1,10a28d56,K562,-0.58,,True,0.736573728,,,,,45825.0,1,4,25.112968,0.710152,0,0.0,0,1116.413303,1246378.663,630.6611618,0.02594
chr1,231048974,231049909,FAM89A|chr1:231184720-231185655:.,chr1,231040245.0,231040246.0,FAM89A,2f957f7a,K562,-0.183845654,2.16e-10,True,0.95,0.45,0.7,0.85,1.0,9068.5,1,5,6.978035,0.542848,213,830.967599,0,16007.62676,256244114.5,48.69297246,0.137808
chr6,47420409,47421163,CD2AP|chr6:47388145-47388899:.,chr6,47477789.0,47477790.0,CD2AP,2f957f7a,K562,-0.168674711,2.76e-16,True,0.85,0.3,0.5,0.7,1.0,56955.0,1,6,23.250072,0.889093,139,782.413608,0,1680.970264,2825661.028,540.565848,0.050911
chr1,212429837,212431414,NENF|chr1:212603179-212604756:.,chr1,212432887.0,212432888.0,NENF,2f957f7a,K562,-0.124071185,0.001347049,True,1.0,0.8,0.85,0.95,1.0,1714.0,1,1,3.106831,0.682667,43,354.486066,0,16357.4022,267564606.7,9.652398863,0.055326
chr19,13839483,13839983,DDX39A|chr19:13950297-13950797:.,chr19,14419382.0,14419383.0,DDX39A,2f957f7a,K562,-0.124000113,0.03104921,True,0.65,0.3,0.4,0.55,1.0,579597.0,20,79,5.743237,0.976846,468,4642.92036,1,422.883765,178830.6787,32.98477124,0.00107
chr1,117655089,117655589,WDR3|chr1:118197711-118198211:.,chr1,117929720.0,117929721.0,WDR3,2f957f7a,K562,-0.052640318,0.01622399,True,0.95,0.3,0.55,0.8,1.0,274418.0,2,33,4.728347,0.847334,123,857.191633,1,456.71408,208587.7509,22.35726535,0.002785
chr11,316244,316608,IFITM1|chr11:316244-316608:.,chr11,313506.0,313507.0,IFITM1,ebda246b,K562,-0.377222083,4.01e-49,True,1.0,0.6,0.85,1.0,1.0,2525.5,1,1,4.263777,0.646545,440,1178.063216,0,26491.87338,701819355.0,18.17979431,0.074149
chr11,86143550,86144050,PICALM|chr11:85854592-85855092:.,chr11,86069881.0,86069882.0,PICALM,2f957f7a,K562,-0.187421483,3.84e-27,True,1.0,0.65,0.8,1.0,1.0,74713.0,1,16,11.04052,0.983258,52,297.628942,0,1488.337101,2215147.326,121.8930819,0.011158
chr4,80127264,80127764,ANTXR2|chr4:81048418-81048918:.,chr4,80125453.0,80125454.0,ANTXR2,2f957f7a,K562,-0.095812247,8.62e-12,True,0.55,0.1,0.1,0.4,1.0,54200.0,1,14,4.55712,0.735362,94,324.893281,0,1376.629812,1895109.639,20.76734269,0.013663
chr12,54304241,54304761,NFE2|chr12:54698025-54698545:*,chr12,54301120.0,54301121.0,NFE2,39b33148,K562,-0.892641,8.45e-102,True,0.999999964,,,,,3446.0,1,1,37.427548,0.78888,350,7557.30325,0,23452.43302,550016614.6,1400.821349,0.269067
chr4,98686789,98687289,TSPAN5|chr4:99607940-99608440:.,chr4,98658628.0,98658629.0,TSPAN5,2f957f7a,K562,-0.081454267,2.22e-09,True,0.3,0.05,0.15,0.05,0.95,28395.0,1,4,3.409749,0.464821,81,168.397704,0,1330.449532,1770095.957,11.62638824,0.017446
chr22,39452407,39453167,SYNGR1|chr22:39848412-39849172:.,chr22,39349925.0,39349926.0,SYNGR1,2f957f7a,K562,-0.056959027,2.99e-05,True,0.9,0.2,0.45,0.85,1.0,102942.0,3,15,5.582752,0.45345,390,875.69196,0,754.650884,569497.9567,31.16711989,0.006265
chr10,92755975,92757041,HHEX|chr10:94515732-94516798:.,chr10,92689951.0,92689952.0,HHEX,2f957f7a,K562,-0.153217769,1.39e-08,True,0.95,0.35,0.7,0.8,1.0,66962.5,1,11,19.541808,0.55676,64,245.734272,0,1790.817477,3207027.236,381.8822599,0.071956
chr2,39150063,39151173,SRSF7|chr2:39377204-39378314:.,chr2,38751493.0,38751494.0,SRSF7,2f957f7a,K562,-0.16082605,6.19e-07,True,1.0,0.75,0.85,0.95,1.0,399123.5,7,26,6.421532,0.942345,37,61.34822,0,164.427048,27036.25411,41.23607323,0.001063
chr10,4941547,4942047,AKR1C1|chr10:4983739-4984239:.,chr10,4963253.0,4963254.0,AKR1C1,2f957f7a,K562,-0.074937979,0.002051479,True,0.7,0.0,0.15,0.5,0.95,21503.0,1,3,8.144708,0.317115,34,30.585448,0,2574.916962,6630197.361,66.33626841,0.049589
chr15,81944915,81945415,MEX3B|chr15:82237256-82237756:.,chr15,82046140.0,82046141.0,MEX3B,2f957f7a,K562,-0.025815625,3.92e-05,True,0.1,0.0,0.05,0.05,0.65,100839.5,1,10,14.460243,0.898553,98,451.021137,0,810.249891,656504.8859,209.0986276,0.016029
chr9,133004122,133004622,GFI1B|chr9:135879509-135880009:.,chr9,132944000.0,132944001.0,GFI1B,2f957f7a,K562,-0.168587337,3.04e-12,True,0.75,0.3,0.45,0.75,1.0,58782.0,1,12,27.116589,0.468862,354,3955.396167,0,658.135138,433141.8599,735.309399,0.019341
chr7,103995900,103996555,RELN|chr7:103636347-103637002:.,chr7,103989515.0,103989516.0,RELN,2f957f7a,K562,-0.132072659,1.35e-22,True,0.35,0.0,0.0,0.05,1.0,6770.0,1,2,28.33659,0.565663,113,364.99339,0,3769.868605,14211909.3,802.9623328,0.17226
chr8,11879271,11880174,CTSB|chr8:11736780-11737683:.,chr8,11869447.0,11869448.0,CTSB,2f957f7a,K562,-0.072543603,0.016784767,True,0.8,0.15,0.35,0.6,1.0,11536.5,1,2,18.524897,0.538687,44,130.174176,0,4693.795549,22031716.66,343.1718089,0.109024
chrX,48531561,48532505,EBP|chrX:48389949-48390893:.,chrX,48521158.0,48521159.0,EBP,2f957f7a,K562,-0.098142553,0.015874986,True,1.0,0.35,0.55,0.85,1.0,10012.0,1,1,7.340835,0.987588,80,83.94656,0,2762.935687,7633813.61,53.8878585,0.016088
chr1,231065649,231066489,FAM89A|chr1:231201395-231202235:.,chr1,231040245.0,231040246.0,FAM89A,2f957f7a,K562,-0.09638674,2.1e-05,True,1.0,0.55,0.75,0.9,1.0,25500.0,1,9,6.581129,0.542848,0,0.0,0,2147.619638,4612270.11,43.31125891,0.017437
chr19,21128683,21129183,ZNF431|chr19:21311486-21311986:.,chr19,21142024.0,21142025.0,ZNF431,2f957f7a,K562,-0.070967225,0.000276,True,0.35,0.05,0.05,0.25,0.95,12782.5,1,3,2.625646,0.655424,256,259.69344,0,2321.724355,5390403.981,6.894016917,0.013086
chr9,69020296,69021186,FXN|chr9:71635212-71636102:.,chr9,69035259.0,69035260.0,FXN,2f957f7a,K562,-0.095567552,0.036257313,True,0.85,0.25,0.55,0.75,1.0,14597.0,1,2,3.598415,0.512775,36,119.820312,1,1605.108567,2576373.512,12.94859051,0.015696
chr19,12777511,12778031,PRDX2|chr19:12888325-12888845:*,chr19,12801858.0,12801859.0,PRDX2,39b33148,K562,-0.092657423,3.45e-14,True,1.0,,,,,24158.0,2,11,6.125955,0.599511,678,5042.907274,0,4590.15841,21069554.23,37.52732466,0.015609
chr12,92404527,92405395,BTG1|chr12:92798303-92799171:.,chr12,92145896.0,92145897.0,BTG1,2f957f7a,K562,-0.218817256,1.77e-10,True,0.85,0.25,0.5,0.65,1.0,259061.0,2,24,10.644152,0.965088,68,648.235466,0,1307.865735,1710512.781,113.2979718,0.018409
chr6,125306944,125307816,TPD52L1|chr6:125628090-125628962:.,chr6,125119049.0,125119050.0,TPD52L1,2f957f7a,K562,-0.105229869,1.98e-07,True,1.0,0.65,0.95,1.0,1.0,153801.0,2,17,9.49721,0.591817,51,127.689227,0,1714.094733,2938120.754,90.19699778,0.035282
chrX,47661953,47662656,UXT|chrX:47521352-47522055:.,chrX,47659160.0,47659161.0,UXT,2f957f7a,K562,-0.121542225,3.97e-10,True,1.0,0.95,0.95,1.0,1.0,3202.0,1,1,21.137677,0.994339,144,4547.641896,1,5125.054208,26266180.63,446.801389,0.057133
chr3,141848947,141849843,ATP1B3|chr3:141567789-141568685:.,chr3,141876124.0,141876125.0,ATP1B3,2f957f7a,K562,-0.130612299,0.013415443,True,0.8,0.25,0.45,0.7,1.0,27185.0,1,6,10.889112,0.625786,102,167.127408,0,1758.911884,3093771.016,118.5727601,0.025092
chr10,87500579,87501079,MINPP1|chr10:89260336-89260836:.,chr10,87504875.0,87504876.0,MINPP1,2f957f7a,K562,-0.059942582,0.011532138,True,0.65,0.05,0.2,0.35,1.0,3652.0,1,1,5.362552,0.64173,72,341.133156,0,20781.55576,431873059.6,28.75696395,0.300229
chr11,86174203,86175075,PICALM|chr11:85885245-85886117:.,chr11,86069881.0,86069882.0,PICALM,2f957f7a,K562,-0.146599694,5.94e-07,True,0.95,0.55,0.7,0.9,1.0,105546.5,1,26,9.806487,0.983258,78,629.065606,0,2856.882709,8161778.813,96.16718728,0.019023
chr11,5280486,5280986,HBG1|chr11:5301716-5302216:.,chr11,5249891.0,5249892.0,HBG1,2f957f7a,K562,-0.470617946,6.719999999999999e-182,True,1.0,0.8,0.85,1.0,1.0,30911.0,3,8,33.366261,0.378206,259,3367.852475,0,1430.888345,2047441.456,1113.307373,0.052194
chr7,22680403,22680994,STEAP1B|chr7:22720022-22720613:.,chr7,22632924.0,22632925.0,STEAP1B,2f957f7a,K562,-0.040058128,0.017431545,True,0.9,0.35,0.5,0.85,1.0,180462.0,3,20,8.247991,0.470676,72,326.806848,0,302.798678,91687.0394,68.02935554,0.00786
chr22,30216619,30217119,LIMK2|chr22:30612608-30613108:.,chr22,31212239.0,31212240.0,LIMK2,2f957f7a,K562,-0.015422734,0.00486984,True,0.45,0.05,0.15,0.15,0.85,1031466.0,29,116,8.952428,0.479774,66,169.39296,0,121.391043,14735.78532,80.1459671,0.003316
chr6,109304426,109304926,FIG4|chr6:109625629-109626129:*,chr6,109691312.0,109691313.0,FIG4,33564e49,K562,-0.486749816,0.034708806,True,0.085857834,,,,,386868.0,7,30,30.932516,0.690482,147,788.595465,0,262.192114,68744.70464,956.8205461,0.017666
chr8,124637449,124637892,NSMCE2|chr8:124637449-124637892:.,chr8,125091679.0,125091680.0,NSMCE2,ebda246b,K562,-0.142877072,0.037217355,True,0.95,0.3,0.7,0.85,1.0,454206.0,7,73,7.031228,0.745355,107,401.896238,1,347.195141,120544.4659,49.43816719,0.00392
chr8,38090386,38090886,ASH2L|chr8:37947904-37948404:.,chr8,38105242.0,38105243.0,ASH2L,2f957f7a,K562,-0.060201092,0.036822771,True,0.95,0.3,0.55,0.8,1.0,14857.0,1,4,3.71684,0.940748,180,979.904115,0,2248.477046,5055649.026,13.81489959,0.007866
chr1,116503996,116504794,CD58|chr1:117046618-117047416:.,chr1,116571038.0,116571039.0,CD58,2f957f7a,K562,-0.065982473,1.73e-05,True,0.55,0.05,0.4,0.5,1.0,66732.0,1,11,26.353054,0.793211,199,925.002507,0,1384.814514,1917711.238,694.4834551,0.031237
chr6,37050156,37051053,PIM1|chr6:37017932-37018829:.,chr6,37170203.0,37170204.0,PIM1,2f957f7a,K562,-0.149941209,1.56e-12,True,0.95,0.75,0.9,0.9,1.0,119560.5,1,30,23.131237,0.989113,379,3457.004896,0,9548.196585,91168058.03,535.0541252,0.085667
chr2,68352552,68353391,CNRIP1|chr2:68579684-68580523:.,chr2,68320050.0,68320051.0,CNRIP1,2f957f7a,K562,-0.017341059,0.00303186,True,0.15,0.05,0.05,0.05,0.5,32754.0,1,4,6.125955,0.479774,0,0.0,0,1921.921882,3693783.721,37.52732466,0.024378
chr5,178127330,178127952,TMED9|chr5:177554331-177554953:.,chr5,177592158.0,177592159.0,TMED9,2f957f7a,K562,-0.071245659,0.040690408,True,1.0,0.75,0.95,1.0,1.0,535466.0,8,18,13.668392,0.593027,162,900.276201,1,583.375031,340326.4268,186.8249399,0.009758
chr4,78732519,78733156,BMP2K|chr4:79653673-79654310:.,chr4,78776342.0,78776343.0,BMP2K,2f957f7a,K562,-0.12102057,0.000401,True,0.8,0.15,0.35,0.5,1.0,43615.0,1,6,11.083603,0.758565,51,152.387286,0,1120.949798,1256528.45,122.8462555,0.014898
chr3,14204402,14205344,SLC6A6|chr3:14245902-14246844:.,chr3,14402576.0,14402577.0,SLC6A6,2f957f7a,K562,-0.025317096,0.047303849,True,0.85,0.15,0.35,0.7,1.0,197579.0,2,50,7.383389,0.832212,222,752.854836,0,1390.322648,1932997.066,54.51443313,0.008239
chr11,5280370,5281170,HBE1|chr11:5301600-5302400:*,chr11,5505651.0,5505652.0,HBE1,a2f90cf9,K562,-0.864802,3.45e-99,True,0.56,,,,,10625.0,1,2,33.366261,0.582261,259,3367.852475,0,4824.487328,23275677.98,1113.307373,0.181715
